risk_budget,method,seed,mean_success,ci95_success,mean_utility,ci95_utility,mean_fixed_risk_utility,ci95_fixed_risk_utility,mean_coverage,ci95_coverage,mean_risk_score,ci95_risk_score,mean_precondition_violation,ci95_precondition_violation,mean_damage_rate,ci95_damage_rate,mean_irreversible_commitment,ci95_irreversible_commitment,mean_wasted_action,ci95_wasted_action,groups
0.042,receding_horizon_mpc,2,0.466667,0.047353,0.181567,0.053291,-0.045301,0.001339,0.0,0.0,0.126503,0.006697,0.181918,0.010763,0.079301,0.004224,0.095593,0.006497,0.143746,0.008168,80
0.042,receding_horizon_mpc,3,0.402083,0.047457,0.118555,0.051735,-0.045157,0.001338,0.0,0.0,0.125785,0.006691,0.180563,0.010706,0.078646,0.004259,0.095783,0.006729,0.143578,0.008136,80
0.042,receding_horizon_mpc,4,0.439583,0.042003,0.154379,0.042887,-0.045157,0.001325,0.0,0.0,0.125783,0.006627,0.181134,0.01078,0.078679,0.004121,0.094615,0.006404,0.143545,0.007989,80
0.042,receding_horizon_mpc,5,0.460417,0.046214,0.174895,0.050998,-0.045259,0.001319,0.0,0.0,0.126295,0.006596,0.181466,0.01056,0.078769,0.004174,0.095702,0.006496,0.144393,0.008226,80
0.042,receding_horizon_mpc,6,0.435417,0.044063,0.153036,0.050049,-0.045249,0.001336,0.0,0.0,0.126243,0.006678,0.181548,0.010841,0.078701,0.004045,0.095824,0.006497,0.143658,0.008421,80
0.042,receding_horizon_mpc,7,0.441667,0.047955,0.158921,0.054833,-0.045263,0.001325,0.0,0.0,0.126317,0.006624,0.181055,0.010605,0.078855,0.004155,0.096586,0.006584,0.143732,0.008141,80
0.042,receding_horizon_mpc,8,0.46875,0.038588,0.183338,0.040859,-0.045174,0.001333,0.0,0.0,0.125871,0.006665,0.180275,0.010855,0.078775,0.004168,0.095577,0.006315,0.143994,0.008304,80
0.042,receding_horizon_mpc,9,0.452083,0.048687,0.169857,0.052198,-0.045204,0.001322,0.0,0.0,0.126021,0.00661,0.180473,0.010804,0.07877,0.004004,0.095552,0.006564,0.144242,0.00798,80
0.042,learned_failure_classifier,0,0.4,0.044863,0.142879,0.049631,-0.043579,0.001213,0.0,0.0,0.117897,0.006066,0.16497,0.009641,0.07495,0.003894,0.092439,0.006213,0.133196,0.007282,80
0.042,learned_failure_classifier,1,0.441667,0.043136,0.183068,0.048511,-0.043595,0.001217,0.0,0.0,0.117973,0.006086,0.16589,0.009668,0.075085,0.003994,0.091459,0.006085,0.132319,0.007346,80
0.042,learned_failure_classifier,2,0.45,0.045904,0.192335,0.051635,-0.043599,0.001247,0.0,0.0,0.117993,0.006237,0.165311,0.010012,0.075285,0.003902,0.092325,0.00628,0.132065,0.007389,80
0.042,learned_failure_classifier,3,0.458333,0.0452,0.202191,0.050394,-0.043462,0.001224,0.0,0.0,0.117312,0.006122,0.164371,0.009777,0.074651,0.003934,0.09123,0.006086,0.132103,0.007367,80
0.042,learned_failure_classifier,4,0.479167,0.047344,0.222899,0.050401,-0.043571,0.001211,0.0,0.0,0.117856,0.006056,0.165554,0.009802,0.074936,0.003731,0.09223,0.00591,0.131467,0.007388,80
0.042,learned_failure_classifier,5,0.445833,0.042216,0.189499,0.044161,-0.04358,0.001227,0.0,0.0,0.117902,0.006137,0.16547,0.009963,0.074892,0.003797,0.092135,0.006094,0.132257,0.007544,80
0.042,learned_failure_classifier,6,0.48125,0.047564,0.226634,0.049715,-0.043456,0.001213,0.0,0.0,0.117282,0.006066,0.164703,0.009716,0.074468,0.003941,0.091161,0.005957,0.131309,0.007208,80
0.042,learned_failure_classifier,7,0.447917,0.049852,0.191506,0.053679,-0.043595,0.001218,0.0,0.0,0.117973,0.006088,0.166234,0.009884,0.07543,0.003834,0.091353,0.006092,0.131363,0.007245,80
0.042,learned_failure_classifier,8,0.441667,0.049,0.184723,0.052595,-0.043488,0.001233,0.0,0.0,0.117442,0.006163,0.164374,0.009791,0.07457,0.004143,0.091521,0.006107,0.131939,0.007216,80
0.042,learned_failure_classifier,9,0.422917,0.041477,0.165584,0.044512,-0.043512,0.00124,0.0,0.0,0.117559,0.0062,0.165166,0.009861,0.07477,0.004104,0.09163,0.006155,0.131556,0.007436,80
0.042,ensemble_belief_planner,0,0.477083,0.04783,0.257315,0.053228,-0.040312,0.00103,0.0,0.0,0.10156,0.005149,0.136203,0.008174,0.068252,0.003406,0.083009,0.005154,0.117287,0.006342,80
0.042,ensemble_belief_planner,1,0.460417,0.044349,0.240376,0.049624,-0.040285,0.001013,0.0,0.0,0.101426,0.005064,0.136791,0.007983,0.068485,0.003426,0.083012,0.005293,0.116272,0.006176,80
0.042,ensemble_belief_planner,2,0.433333,0.040926,0.212779,0.043558,-0.03892,0.003237,0.0125,0.0245,0.101702,0.005162,0.135967,0.008195,0.068961,0.003447,0.083665,0.005356,0.116911,0.006446,80
0.042,ensemble_belief_planner,3,0.447917,0.041334,0.227884,0.04452,-0.040302,0.001042,0.0,0.0,0.101508,0.005208,0.13618,0.008253,0.06861,0.003551,0.081966,0.005495,0.11745,0.006149,80
0.042,ensemble_belief_planner,4,0.45625,0.047475,0.236387,0.052627,-0.040337,0.001033,0.0,0.0,0.101683,0.005164,0.135904,0.008209,0.069488,0.003399,0.083109,0.005398,0.116567,0.006339,80
0.042,ensemble_belief_planner,5,0.479167,0.046262,0.258293,0.050863,-0.040384,0.001034,0.0,0.0,0.101919,0.005169,0.135598,0.008116,0.069184,0.00359,0.08407,0.005239,0.11784,0.006321,80
0.042,ensemble_belief_planner,6,0.43125,0.04452,0.210582,0.046898,-0.040363,0.001035,0.0,0.0,0.101816,0.005176,0.136475,0.008081,0.069188,0.003641,0.083193,0.005264,0.116768,0.006336,80
0.042,ensemble_belief_planner,7,0.477083,0.043387,0.256764,0.045956,-0.04034,0.001024,0.0,0.0,0.101699,0.005118,0.137248,0.008182,0.068173,0.003427,0.082849,0.005247,0.117323,0.006293,80
0.042,ensemble_belief_planner,8,0.520833,0.044399,0.300329,0.048403,-0.032574,0.015445,0.0125,0.0245,0.101436,0.005172,0.135489,0.008135,0.068476,0.003431,0.083218,0.005394,0.117828,0.006394,80
0.042,ensemble_belief_planner,9,0.470833,0.038448,0.250155,0.039394,-0.040369,0.001021,0.0,0.0,0.101843,0.005103,0.136867,0.008006,0.069292,0.003483,0.082426,0.005352,0.116876,0.006156,80
0.042,conformal_risk_tamp,0,0.425,0.047531,0.18939,0.048334,-0.038984,0.002985,0.0125,0.0245,0.101339,0.005217,0.142355,0.009044,0.060998,0.003034,0.074358,0.00452,0.12727,0.006789,80
0.042,conformal_risk_tamp,1,0.414583,0.037207,0.175753,0.039251,-0.036998,0.007084,0.0125,0.0245,0.102084,0.005238,0.144463,0.008869,0.061519,0.003118,0.074558,0.004501,0.12797,0.007066,80
0.042,conformal_risk_tamp,2,0.470833,0.048541,0.232871,0.052643,-0.036959,0.00706,0.0125,0.0245,0.101867,0.005126,0.143602,0.008782,0.061059,0.002969,0.074992,0.004496,0.127812,0.006764,80
0.042,conformal_risk_tamp,3,0.425,0.041459,0.187833,0.047066,-0.040375,0.001016,0.0,0.0,0.101876,0.00508,0.143905,0.008717,0.061153,0.002884,0.075134,0.004372,0.126824,0.006836,80
0.042,conformal_risk_tamp,4,0.445833,0.042614,0.207552,0.048724,-0.040384,0.001036,0.0,0.0,0.101919,0.005178,0.143643,0.008628,0.0616,0.002986,0.075009,0.004552,0.126779,0.006901,80
0.042,conformal_risk_tamp,5,0.439583,0.041599,0.201657,0.043796,-0.025164,0.021366,0.025,0.034428,0.101735,0.005257,0.142997,0.008771,0.061462,0.003106,0.074824,0.004513,0.127968,0.007343,80
0.042,conformal_risk_tamp,6,0.402083,0.041375,0.163917,0.043965,-0.04039,0.001045,0.0,0.0,0.101948,0.005223,0.143919,0.008976,0.060922,0.002784,0.075218,0.004679,0.127254,0.006929,80
0.042,conformal_risk_tamp,7,0.435417,0.041293,0.197648,0.043308,-0.040385,0.001036,0.0,0.0,0.101924,0.00518,0.14379,0.00896,0.061255,0.002968,0.075072,0.00429,0.126983,0.007103,80
0.042,conformal_risk_tamp,8,0.45,0.044027,0.212566,0.046478,-0.040368,0.001004,0.0,0.0,0.101838,0.00502,0.143617,0.008751,0.061284,0.00263,0.074629,0.004367,0.127841,0.006835,80
0.042,conformal_risk_tamp,9,0.410417,0.046104,0.174455,0.050313,-0.040309,0.001022,0.0,0.0,0.101545,0.005109,0.142049,0.008727,0.061463,0.002984,0.075558,0.004482,0.126661,0.006836,80
0.042,smooth_precondition_world_model,0,0.452083,0.046195,0.17784,0.05158,-0.045003,0.001322,0.0,0.0,0.125015,0.00661,0.181035,0.010748,0.077851,0.004183,0.096532,0.006607,0.139607,0.00773,80
0.042,smooth_precondition_world_model,1,0.452083,0.043948,0.177204,0.048485,-0.044897,0.001312,0.0,0.0,0.124484,0.006558,0.179159,0.010588,0.078391,0.004002,0.096041,0.006707,0.139133,0.007949,80
0.042,smooth_precondition_world_model,2,0.452083,0.052363,0.179255,0.05656,-0.044954,0.001326,0.0,0.0,0.124771,0.006629,0.180495,0.010717,0.078122,0.004177,0.096394,0.006776,0.139437,0.007829,80
0.042,smooth_precondition_world_model,3,0.470833,0.045674,0.195183,0.051775,-0.044984,0.001314,0.0,0.0,0.124918,0.006571,0.180703,0.010832,0.078026,0.004078,0.095887,0.006652,0.140625,0.007698,80
0.042,smooth_precondition_world_model,4,0.44375,0.045366,0.172165,0.05075,-0.044857,0.001325,0.0,0.0,0.124285,0.006623,0.179541,0.010826,0.077992,0.004074,0.095705,0.006649,0.138356,0.007945,80
0.042,smooth_precondition_world_model,5,0.429167,0.048541,0.158593,0.0532,-0.044908,0.001303,0.0,0.0,0.12454,0.006515,0.179321,0.010471,0.077967,0.004063,0.096477,0.006606,0.139443,0.007839,80
0.042,smooth_precondition_world_model,6,0.439583,0.043581,0.167331,0.047516,-0.044905,0.001303,0.0,0.0,0.124525,0.006515,0.179879,0.010715,0.078136,0.003892,0.095785,0.006611,0.139127,0.007721,80
0.042,smooth_precondition_world_model,7,0.420833,0.051968,0.147796,0.058034,-0.044951,0.001297,0.0,0.0,0.124754,0.006484,0.18014,0.010436,0.078193,0.004019,0.096642,0.006632,0.138768,0.007675,80
0.042,smooth_precondition_world_model,8,0.495833,0.050984,0.221131,0.054392,-0.044947,0.001314,0.0,0.0,0.124733,0.006571,0.180027,0.010739,0.078383,0.00419,0.096313,0.006616,0.139108,0.007843,80
0.042,smooth_precondition_world_model,9,0.429167,0.045303,0.153312,0.05116,-0.044977,0.001314,0.0,0.0,0.124887,0.006569,0.180642,0.01063,0.07857,0.004168,0.096488,0.006575,0.138243,0.007788,80
0.042,contact_implicit_tamp,0,0.495833,0.041895,0.271507,0.045139,-0.040194,0.001014,0.0,0.0,0.100971,0.005072,0.134128,0.00812,0.065416,0.003104,0.080491,0.005001,0.116347,0.006425,80
0.042,contact_implicit_tamp,1,0.491667,0.045349,0.265977,0.047764,-0.040322,0.001012,0.0,0.0,0.101612,0.005061,0.135612,0.008105,0.065442,0.003151,0.08064,0.005128,0.118684,0.006309,80
0.042,contact_implicit_tamp,2,0.466667,0.044787,0.241405,0.050113,-0.040285,0.001003,0.0,0.0,0.101425,0.005016,0.13579,0.008143,0.065137,0.003167,0.080547,0.005014,0.117652,0.006048,80
0.042,contact_implicit_tamp,3,0.48125,0.047564,0.257477,0.048057,-0.04018,0.001004,0.0,0.0,0.100901,0.005018,0.13423,0.008098,0.064903,0.003092,0.080188,0.004992,0.117969,0.006274,80
0.042,contact_implicit_tamp,4,0.485417,0.048339,0.261083,0.053008,-0.040223,0.000996,0.0,0.0,0.101115,0.004979,0.13489,0.008003,0.065378,0.003006,0.079487,0.004951,0.117406,0.00627,80
0.042,contact_implicit_tamp,5,0.475,0.049343,0.250275,0.052596,-0.040334,0.001013,0.0,0.0,0.10167,0.005065,0.135998,0.007953,0.066334,0.003225,0.079744,0.005221,0.117687,0.006227,80
0.042,contact_implicit_tamp,6,0.4625,0.047911,0.236876,0.050816,-0.040283,0.001009,0.0,0.0,0.101413,0.005044,0.135986,0.008015,0.064837,0.003212,0.080483,0.005147,0.117744,0.006197,80
0.042,contact_implicit_tamp,7,0.475,0.043136,0.248427,0.047108,-0.040408,0.001008,0.0,0.0,0.10204,0.005038,0.136186,0.007973,0.066387,0.003196,0.080012,0.004988,0.119699,0.006202,80
0.042,contact_implicit_tamp,8,0.477083,0.045662,0.251428,0.046632,-0.040376,0.00102,0.0,0.0,0.101878,0.005101,0.136338,0.00808,0.065981,0.003279,0.080435,0.005087,0.118578,0.006244,80
0.042,contact_implicit_tamp,9,0.45,0.042465,0.225885,0.046249,-0.040234,0.001018,0.0,0.0,0.10117,0.005088,0.135071,0.008259,0.065095,0.00314,0.079678,0.004964,0.118459,0.006265,80
0.042,contingent_pomdp_tamp,0,0.508333,0.048236,0.325503,0.052232,-0.025972,0.017117,0.025,0.034428,0.08696,0.00407,0.111956,0.006904,0.058852,0.002682,0.070583,0.004097,0.100539,0.004913,80
0.042,contingent_pomdp_tamp,1,0.495833,0.039829,0.312564,0.04227,-0.031747,0.011378,0.0125,0.0245,0.087116,0.004071,0.112509,0.006899,0.059083,0.002759,0.070739,0.004055,0.10081,0.004869,80
0.042,contingent_pomdp_tamp,2,0.466667,0.042861,0.282762,0.043727,-0.037465,0.000804,0.0,0.0,0.087323,0.004019,0.113145,0.006785,0.058787,0.002589,0.070835,0.004026,0.101052,0.004705,80
0.042,contingent_pomdp_tamp,3,0.497917,0.0417,0.314464,0.044103,-0.026043,0.016026,0.025,0.034428,0.087158,0.00411,0.113127,0.006887,0.059069,0.002656,0.070443,0.0041,0.100138,0.00472,80
0.042,contingent_pomdp_tamp,4,0.516667,0.047424,0.332904,0.050002,-0.014202,0.02637,0.0375,0.041895,0.08721,0.004107,0.113839,0.006827,0.058927,0.002911,0.070275,0.004155,0.099481,0.004757,80
0.042,contingent_pomdp_tamp,5,0.547917,0.04117,0.364409,0.043852,0.001518,0.03423,0.0625,0.053379,0.086738,0.004081,0.113088,0.006979,0.058203,0.002523,0.069864,0.00412,0.100322,0.004752,80
0.042,contingent_pomdp_tamp,6,0.510417,0.049084,0.326862,0.050698,-0.020816,0.017769,0.05,0.048061,0.087088,0.004149,0.113522,0.006995,0.059375,0.002668,0.069996,0.004096,0.099343,0.004889,80
0.042,contingent_pomdp_tamp,7,0.4625,0.043477,0.279906,0.045593,-0.020677,0.017838,0.05,0.048061,0.086783,0.004178,0.112826,0.007063,0.058483,0.002734,0.070384,0.0043,0.099206,0.004787,80
0.042,contingent_pomdp_tamp,8,0.5125,0.044928,0.328634,0.045202,-0.021901,0.022534,0.025,0.034428,0.087275,0.004168,0.113663,0.006886,0.059085,0.002671,0.070799,0.00422,0.100278,0.004989,80
0.042,contingent_pomdp_tamp,9,0.522917,0.044158,0.338748,0.046764,-0.026128,0.015989,0.025,0.034428,0.087444,0.004073,0.11352,0.006845,0.059285,0.002665,0.07066,0.004034,0.100046,0.004763,80
0.042,risk_aware_tamp,0,0.45,0.044787,0.257582,0.048088,0.006502,0.032406,0.0875,0.062311,0.084434,0.004046,0.115849,0.007366,0.049719,0.002097,0.061163,0.00327,0.106901,0.005525,80
0.042,risk_aware_tamp,1,0.50625,0.04327,0.313911,0.044629,-0.004815,0.030623,0.0625,0.053379,0.084328,0.003874,0.116456,0.00712,0.048719,0.002055,0.061691,0.003106,0.106662,0.00516,80
0.042,risk_aware_tamp,2,0.49375,0.044425,0.301676,0.046278,0.00631,0.035222,0.0875,0.062311,0.084138,0.003952,0.116106,0.007238,0.048828,0.002121,0.061031,0.00335,0.107283,0.005147,80
0.042,risk_aware_tamp,3,0.5,0.046851,0.307242,0.049706,0.002736,0.034244,0.075,0.058082,0.084653,0.003965,0.117152,0.007269,0.048651,0.002018,0.06241,0.003202,0.106434,0.005305,80
0.042,risk_aware_tamp,4,0.5375,0.047201,0.345322,0.051348,0.001331,0.034108,0.0625,0.053379,0.084245,0.00383,0.116028,0.007147,0.048771,0.001993,0.061854,0.003061,0.105892,0.005238,80
0.042,risk_aware_tamp,5,0.464583,0.048164,0.271802,0.050644,-0.014621,0.022641,0.05,0.048061,0.08445,0.003907,0.11655,0.007275,0.049309,0.001754,0.060896,0.003279,0.107637,0.005212,80
0.042,risk_aware_tamp,6,0.514583,0.037747,0.321806,0.040555,-0.005551,0.025774,0.075,0.058082,0.084429,0.003934,0.116867,0.007403,0.048823,0.00195,0.061392,0.00308,0.106674,0.00526,80
0.042,risk_aware_tamp,7,0.491667,0.040219,0.29949,0.043025,-0.002806,0.030524,0.0625,0.053379,0.084323,0.003918,0.115723,0.007196,0.048939,0.002009,0.061915,0.003184,0.107012,0.005265,80
0.042,risk_aware_tamp,8,0.50625,0.047723,0.313298,0.050049,-0.00086,0.034612,0.0625,0.053379,0.08472,0.003894,0.116139,0.007232,0.050188,0.001988,0.061642,0.003171,0.106977,0.005289,80
0.042,risk_aware_tamp,9,0.489583,0.045142,0.297375,0.04651,-0.014567,0.024082,0.05,0.048061,0.084351,0.003881,0.116745,0.007249,0.047835,0.001987,0.062205,0.003299,0.107753,0.005191,80
0.042,learned_contact_belief_state,0,0.535417,0.042976,0.372131,0.042846,-0.030835,0.011571,0.0125,0.0245,0.083096,0.003905,0.101595,0.005985,0.059925,0.002858,0.074223,0.004374,0.093857,0.004676,80
0.042,learned_contact_belief_state,1,0.5125,0.043786,0.349736,0.046458,-0.022866,0.019388,0.025,0.034428,0.082756,0.003796,0.100899,0.005912,0.060074,0.002691,0.073569,0.004261,0.092983,0.004581,80
0.042,learned_contact_belief_state,2,0.529167,0.046407,0.366384,0.049056,-0.014793,0.026282,0.0375,0.041895,0.082638,0.003917,0.101407,0.006236,0.05937,0.002746,0.073223,0.004504,0.093419,0.004325,80
0.042,learned_contact_belief_state,3,0.508333,0.051944,0.346382,0.054768,-0.000872,0.035828,0.05,0.048061,0.082384,0.003905,0.100116,0.00591,0.059531,0.002914,0.073768,0.00455,0.09319,0.004539,80
0.042,learned_contact_belief_state,4,0.525,0.041541,0.362916,0.044057,-0.03074,0.011598,0.0125,0.0245,0.082699,0.003837,0.100835,0.005994,0.059921,0.002745,0.073614,0.004313,0.092344,0.00463,80
0.042,learned_contact_belief_state,5,0.516667,0.045978,0.354842,0.048378,-0.028534,0.015819,0.0125,0.0245,0.082441,0.003823,0.100214,0.005823,0.059745,0.002707,0.073594,0.004518,0.092104,0.004443,80
0.042,learned_contact_belief_state,6,0.547917,0.046559,0.386395,0.047208,-0.018988,0.022982,0.0375,0.041895,0.082158,0.00383,0.099973,0.005914,0.058615,0.002708,0.073907,0.004574,0.093507,0.004368,80
0.042,learned_contact_belief_state,7,0.49375,0.047368,0.330714,0.050566,-0.015013,0.026054,0.0375,0.041895,0.082748,0.003873,0.101035,0.005955,0.059466,0.002801,0.073121,0.004364,0.09364,0.004503,80
0.042,learned_contact_belief_state,8,0.508333,0.051618,0.345695,0.053391,0.00089,0.03512,0.0625,0.053379,0.082651,0.003975,0.100951,0.006116,0.059752,0.002845,0.072834,0.004579,0.093494,0.0045,80
0.042,learned_contact_belief_state,9,0.522917,0.046758,0.360611,0.049707,-0.006653,0.033763,0.0375,0.041895,0.082713,0.00393,0.100712,0.006097,0.060173,0.002776,0.073341,0.004385,0.092949,0.004641,80
0.042,damage_aware_planner,0,0.491667,0.042663,0.285826,0.043553,-0.01434,0.023979,0.0625,0.053379,0.088239,0.004211,0.130144,0.008146,0.044883,0.001786,0.061964,0.003318,0.111872,0.005708,80
0.042,damage_aware_planner,1,0.485417,0.046195,0.279568,0.047884,-0.016192,0.021042,0.0625,0.053379,0.087956,0.004216,0.128945,0.008061,0.04534,0.001882,0.061334,0.003257,0.111382,0.005704,80
0.042,damage_aware_planner,2,0.429167,0.047486,0.223196,0.048172,-0.023186,0.016881,0.0375,0.041895,0.088075,0.004199,0.129545,0.008045,0.045116,0.001681,0.062372,0.003221,0.110875,0.005814,80
0.042,damage_aware_planner,3,0.477083,0.047118,0.271662,0.049114,-0.003834,0.034001,0.0625,0.053379,0.088005,0.004158,0.129083,0.007797,0.045252,0.001947,0.061745,0.003428,0.112213,0.005565,80
0.042,damage_aware_planner,4,0.46875,0.040717,0.263422,0.042469,-0.006642,0.026858,0.075,0.058082,0.087974,0.004124,0.130074,0.008118,0.044305,0.001654,0.062066,0.003183,0.111252,0.00564,80
0.042,damage_aware_planner,5,0.460417,0.041191,0.255198,0.042054,-0.01284,0.021094,0.075,0.058082,0.087768,0.004175,0.128671,0.008087,0.045521,0.001702,0.061292,0.003386,0.111297,0.005583,80
0.042,damage_aware_planner,6,0.495833,0.049642,0.289995,0.052171,-0.01896,0.02227,0.0375,0.041895,0.08806,0.004123,0.129276,0.008019,0.045303,0.001647,0.061607,0.003366,0.112165,0.005584,80
0.042,damage_aware_planner,7,0.4625,0.041081,0.257149,0.044541,-0.018949,0.021441,0.0375,0.041895,0.087723,0.004099,0.128856,0.007955,0.044874,0.001684,0.061385,0.003261,0.111,0.005605,80
0.042,damage_aware_planner,8,0.479167,0.044399,0.274141,0.046458,-0.013519,0.025244,0.05,0.048061,0.087937,0.004109,0.129086,0.007981,0.045202,0.001749,0.061191,0.003081,0.111965,0.00572,80
0.042,damage_aware_planner,9,0.527083,0.04592,0.321245,0.047453,-0.015562,0.0217,0.05,0.048061,0.088105,0.004196,0.129099,0.008028,0.04514,0.001751,0.062355,0.003256,0.111803,0.005805,80
0.042,proposed_contact_belief_tamp_v4,0,0.56875,0.045272,0.473487,0.046084,0.027439,0.042055,0.1,0.066155,0.062586,0.002524,0.062979,0.003866,0.04451,0.001637,0.061153,0.003226,0.072487,0.003114,80
0.042,proposed_contact_belief_tamp_v4,1,0.575,0.046088,0.477954,0.047488,0.021384,0.040466,0.0875,0.062311,0.063282,0.002623,0.063425,0.003879,0.04528,0.001829,0.061632,0.003184,0.073711,0.003124,80
0.042,proposed_contact_belief_tamp_v4,2,0.55625,0.039815,0.459129,0.040125,0.019061,0.03581,0.1,0.066155,0.063345,0.00262,0.063014,0.003915,0.046239,0.001847,0.061353,0.003303,0.074188,0.003233,80
0.042,proposed_contact_belief_tamp_v4,3,0.53125,0.04274,0.434453,0.042801,0.008671,0.031161,0.1,0.066155,0.06337,0.002595,0.063884,0.003982,0.045696,0.001734,0.061917,0.003327,0.072831,0.002871,80
0.042,proposed_contact_belief_tamp_v4,4,0.566667,0.040926,0.471413,0.041908,0.029836,0.043918,0.1,0.066155,0.062643,0.002618,0.061826,0.004088,0.044569,0.001853,0.062208,0.003271,0.0729,0.003005,80
0.042,proposed_contact_belief_tamp_v4,5,0.55625,0.044615,0.460266,0.045437,0.03156,0.04531,0.1,0.066155,0.062977,0.002578,0.062555,0.003879,0.045116,0.001724,0.0622,0.003347,0.073168,0.002743,80
0.042,proposed_contact_belief_tamp_v4,6,0.566667,0.042146,0.470207,0.042448,0.02313,0.039537,0.1,0.066155,0.063134,0.002576,0.063062,0.004001,0.044907,0.001728,0.061458,0.003099,0.074201,0.003044,80
0.042,proposed_contact_belief_tamp_v4,7,0.527083,0.047011,0.430322,0.047291,0.012947,0.031516,0.1,0.066155,0.063294,0.002635,0.062514,0.004101,0.045868,0.001779,0.062526,0.003194,0.073631,0.002874,80
0.042,proposed_contact_belief_tamp_v4,8,0.55625,0.043851,0.459845,0.045111,0.027598,0.043061,0.1,0.066155,0.062957,0.002618,0.062669,0.004072,0.045236,0.001636,0.061547,0.003389,0.073935,0.002905,80
0.042,proposed_contact_belief_tamp_v4,9,0.59375,0.042641,0.497696,0.043901,0.027442,0.041748,0.1,0.066155,0.062946,0.002617,0.061976,0.003978,0.045538,0.001771,0.062038,0.00328,0.072953,0.003037,80
0.042,contact_belief_branch_audit_v5,0,0.63125,0.047457,0.613704,0.048049,0.593515,0.054243,0.9625,0.041895,0.032213,0.001348,0.01873,0.00216,0.025584,0.001136,0.033992,0.001793,0.045871,0.001857,80
0.042,contact_belief_branch_audit_v5,1,0.633333,0.043642,0.615456,0.043709,0.593275,0.051254,0.9625,0.041895,0.03234,0.001395,0.018032,0.002162,0.025755,0.00125,0.03386,0.001754,0.047404,0.002131,80
0.042,contact_belief_branch_audit_v5,2,0.641667,0.044294,0.623459,0.044573,0.588785,0.053947,0.95,0.048061,0.032417,0.001329,0.018987,0.002135,0.025549,0.001182,0.033866,0.001792,0.047225,0.001881,80
0.042,contact_belief_branch_audit_v5,3,0.629167,0.045748,0.611233,0.045511,0.597032,0.050441,0.975,0.034428,0.032557,0.001344,0.018916,0.002193,0.02584,0.001108,0.033756,0.00194,0.047579,0.001906,80
0.042,contact_belief_branch_audit_v5,4,0.625,0.042106,0.607836,0.042644,0.58562,0.049513,0.9625,0.041895,0.031953,0.00128,0.017991,0.00209,0.024423,0.001024,0.034444,0.001897,0.047315,0.001717,80
0.042,contact_belief_branch_audit_v5,5,0.629167,0.044627,0.61229,0.044284,0.596122,0.049125,0.975,0.034428,0.031872,0.001264,0.018414,0.002188,0.025123,0.001087,0.033003,0.001626,0.046242,0.001853,80
0.042,contact_belief_branch_audit_v5,6,0.6375,0.040166,0.619838,0.040644,0.611732,0.043639,0.9875,0.0245,0.032068,0.001289,0.019003,0.002058,0.02475,0.001081,0.033495,0.001776,0.046803,0.001833,80
0.042,contact_belief_branch_audit_v5,7,0.635417,0.041538,0.617119,0.042611,0.595067,0.049849,0.95,0.048061,0.032433,0.001328,0.019528,0.002158,0.025593,0.001269,0.033604,0.001825,0.04653,0.001688,80
0.042,contact_belief_branch_audit_v5,8,0.610417,0.044615,0.593003,0.044883,0.572784,0.051052,0.9625,0.041895,0.032281,0.001286,0.018204,0.002064,0.025869,0.000996,0.033993,0.001935,0.046378,0.001733,80
0.042,contact_belief_branch_audit_v5,9,0.627083,0.043967,0.609925,0.043893,0.581379,0.050585,0.9625,0.041895,0.032009,0.001256,0.017528,0.001978,0.025037,0.001191,0.034689,0.001741,0.046975,0.001794,80
0.042,oracle_contact_outcome_planner,0,0.689583,0.038871,0.661901,0.039174,0.518955,0.074101,0.775,0.092084,0.038594,0.00109,0.021884,0.001801,0.033974,0.001081,0.042888,0.00143,0.049323,0.001744,80
0.042,oracle_contact_outcome_planner,1,0.65625,0.044766,0.628135,0.044837,0.478922,0.071803,0.775,0.092084,0.038678,0.000988,0.021927,0.001921,0.034147,0.00108,0.042443,0.001478,0.050082,0.001178,80
0.042,oracle_contact_outcome_planner,2,0.627083,0.044349,0.59912,0.044313,0.460412,0.07009,0.775,0.092084,0.038756,0.00105,0.021284,0.001966,0.034755,0.001109,0.042116,0.001522,0.050391,0.001264,80
0.042,oracle_contact_outcome_planner,3,0.660417,0.039603,0.632271,0.039655,0.483263,0.072902,0.7625,0.093841,0.038704,0.001092,0.023275,0.001762,0.03412,0.001257,0.041682,0.001502,0.049505,0.001502,80
0.042,oracle_contact_outcome_planner,4,0.65625,0.044005,0.628528,0.044353,0.506353,0.071958,0.8,0.088207,0.038592,0.001053,0.022513,0.001785,0.03398,0.00107,0.04163,0.001705,0.050309,0.001422,80
0.042,oracle_contact_outcome_planner,5,0.6625,0.042296,0.635532,0.042474,0.488234,0.072146,0.775,0.092084,0.038336,0.00099,0.021428,0.001928,0.033516,0.000993,0.042547,0.001529,0.049774,0.001318,80
0.042,oracle_contact_outcome_planner,6,0.65625,0.035984,0.62904,0.036225,0.5022,0.067902,0.8,0.088207,0.038388,0.001041,0.021731,0.001575,0.033317,0.001053,0.0431,0.00169,0.049647,0.001368,80
0.042,oracle_contact_outcome_planner,7,0.670833,0.040668,0.642473,0.040336,0.485194,0.073113,0.7625,0.093841,0.038795,0.000983,0.021936,0.00153,0.034623,0.001112,0.042057,0.001425,0.050432,0.001593,80
